org_type,role,aware_paymentworks,paymentworks_actions,paymentworks_difficulties,paymentworks_support_source,aware_transcepta,invoice_submission_method,transcepta_interactions,transcepta_difficulties,transcepta_support_source,ipps_resources_aware,ipps_difficulties,po_clarity_rating,aware_po_nonpayment
"Small Business (per SBA standards),Sole Proprietor / Individual",Executive-level leadership,Yes,"Updating Company Information,Supplier Registration","Contacting PaymentWorks,Viewing Payment Status",PaymentWorks' Payee Knowledge Base,Yes,Transcepta - Email,"N/A, I've never heard of Transcepta","Registering for Transcepta,Receiving notifications about invoice errors/rejections",Transcepta Support,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
Small Business (per SBA standards),Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),"Viewing invoice submission status.,Registering for Transcepta",Viewing invoice submission status.,"Accounts Payable (payables@ucsd.edu),Transcepta Portal and Knowledge Base",Payee Onboarding Guide,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Other:,Yes,"N/A, I've never heard of PaymentWorks","Updating Remittance Details,Viewing Payment Status","Other (please specify):,Procurement (pohelp@ucsd.edu)",Yes,Transcepta - Electronic Data Interchange (EDI),"Viewing invoice submission status.,Registering for Transcepta,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Registering for Transcepta",Procurement (pohelp@ucsd.edu),I am not aware of any of these resources,I have not experienced any difficulties,2 – Somewhat Unclear,No
Sole Proprietor / Individual,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,Yes
Small Business (per SBA standards),Accounts receivable,Yes,"Contacting PaymentWorks,Supplier Registration,Updating Company Information,Updating Remittance Details","Supplier Registration,Updating Remittance Details",PaymentWorks' Payee Knowledge Base,Yes,Transcepta - Electronic Data Interchange (EDI),"Registering for Transcepta,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections","Registering for Transcepta,Finding guidance on Transcepta actions.","The person ordering the goods or services,I am unsure who to contact",I am not aware of any of these resources,I have not experienced any difficulties,4 – Somewhat Clear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","N/A, I've never heard of Transcepta","Procurement (pohelp@ucsd.edu),Other (please specify):",Payee Onboarding Guide,I have never utilized these resources or support,1 – Extremely Unclear,No
Sole Proprietor / Individual,Accounts receivable,Yes,"Supplier Registration,Updating Remittance Details,Viewing Payment Status",Finding guidance on PaymentWorks actions,Procurement (pohelp@ucsd.edu),,,,,,,,,
Non-Profit Organization,Other:,,,,,,,,,,,,,
Sole Proprietor / Individual,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Registering for Transcepta",None of the Above,Procurement (pohelp@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,3 – Neutral,Yes
Other (please specify):,Executive-level leadership,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,Yes,"Updating Remittance Details,Viewing Payment Status,Finding guidance on PaymentWorks actions,Supplier Registration",Finding guidance on PaymentWorks actions,"The person ordering the goods or services,PaymentWorks Support",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,Yes
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Other:,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,I have not experienced any difficulties,2 – Somewhat Unclear,Yes
Other (please specify):,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have not experienced any difficulties,4 – Somewhat Clear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,"Viewing Payment Status,Finding guidance on PaymentWorks actions","N/A, I've never heard of PaymentWorks","Procurement (pohelp@ucsd.edu),I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,1 – Extremely Unclear,Yes
Large Business,Administrative support,Yes,"Finding guidance on PaymentWorks actions,Supplier Registration,Contacting PaymentWorks","Supplier Registration,Updating Remittance Details",The person ordering the goods or services,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,No
Large Business,Sales,Yes,"Finding guidance on PaymentWorks actions,Viewing Payment Status","Viewing Payment Status,Updating Company Information",PaymentWorks Support,Yes,Transcepta - Web Portal (PO flip and manual creation),Viewing invoice submission status.,"N/A, I've never heard of Transcepta","Other (please specify):,I am unsure who to contact",I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,1 – Extremely Unclear,Yes
Non-Profit Organization,Sales,,,,,,,,,,,,,
Non-Profit Organization,Accounts receivable,Yes,"Viewing Payment Status,Finding guidance on PaymentWorks actions,Supplier Registration","Supplier Registration,Updating Company Information,Viewing Payment Status",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,1 – Extremely Unclear,Yes
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,5 – Extremely Clear,No
Small Business (per SBA standards),Sales,Yes,Contacting PaymentWorks,"Finding guidance on PaymentWorks actions,Supplier Registration,Updating Remittance Details",Procurement (pohelp@ucsd.edu),Yes,Transcepta - Electronic Data Interchange (EDI),"Viewing invoice submission status.,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",None of the Above,I am unsure who to contact,Other (Please specify):,Other (Please specify):,4 – Somewhat Clear,No
Large Business,Other:,Yes,"Supplier Registration,Updating Company Information,Finding guidance on PaymentWorks actions","Viewing Payment Status,Updating Company Information",PaymentWorks Support,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,5 – Extremely Clear,Yes
Non-Profit Organization,Other:,Yes,"N/A, I've never heard of PaymentWorks",Updating Remittance Details,"The person ordering the goods or services,I am unsure who to contact",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have not experienced any difficulties,1 – Extremely Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
Large Business,Other:,,,,,,,,,,,,,
Small Business (per SBA standards),Accounts receivable,Yes,Contacting PaymentWorks,None of the above,I am unsure who to contact,Yes,Transcepta - Electronic Data Interchange (EDI),"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Registering for Transcepta","Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections","Accounts Payable (payables@ucsd.edu),Transcepta Support",Payee Onboarding Guide,Other (Please specify):,5 – Extremely Clear,No
Sole Proprietor / Individual,Administrative support,Yes,"Supplier Registration,Viewing Payment Status,Updating Company Information,Updating Remittance Details","Viewing Payment Status,Supplier Registration,Updating Company Information","PaymentWorks Support,Procurement (pohelp@ucsd.edu)",Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta",None of the Above,I am unsure who to contact,Other (Please specify):,Other (Please specify):,4 – Somewhat Clear,No
Other (please specify):,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have never utilized these resources or support,5 – Extremely Clear,No
Non-Profit Organization,Accounts receivable,,,,,,,,,,,,,
Non-Profit Organization,Administrative support,,,,,,,,,,,,,
Other (please specify):,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Other:,"Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.",Registering for Transcepta,"Other (please specify):,I am unsure who to contact",Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,Yes
Non-Profit Organization,Other:,,,,,,,,,,,,,
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,I have never utilized these resources or support,3 – Neutral,Yes
Sole Proprietor / Individual,Accounts receivable,Yes,"Updating Company Information,Viewing Payment Status,Contacting PaymentWorks","Updating Company Information,Viewing Payment Status,Contacting PaymentWorks",PaymentWorks Support,Yes,Other:,None of the Above,Receiving notifications about invoice errors/rejections,"I am unsure who to contact,Transcepta Support",Payee Newsletter,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,No
Large Business,Other:,,,,,,,,,,,,,
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Web Portal (PO flip and manual creation),Receiving notifications about invoice errors/rejections,"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.","Transcepta Portal and Knowledge Base,Other (please specify):",Payee Onboarding Guide,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Large Business,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Transcepta - Electronic Data Interchange (EDI),None of the Above,"Finding guidance on Transcepta actions.,Registering for Transcepta,Viewing invoice submission status.",The person ordering the goods or services,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,5 – Extremely Clear,No
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,None of the Above,Registering for Transcepta,Other (please specify):,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,2 – Somewhat Unclear,Yes
Sole Proprietor / Individual,Other:,Yes,"Finding guidance on PaymentWorks actions,Contacting PaymentWorks",Viewing Payment Status,"Other (please specify):,PaymentWorks Support",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Sales,,,,,,,,,,,,,
Small Business (per SBA standards),Sales,Yes,None of the above,Viewing Payment Status,I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have not experienced any difficulties,2 – Somewhat Unclear,No
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Payee Onboarding Guide,I have not experienced any difficulties,2 – Somewhat Unclear,No
Sole Proprietor / Individual,Other:,Yes,Finding guidance on PaymentWorks actions,"Supplier Registration,Finding guidance on PaymentWorks actions,Updating Remittance Details",The person ordering the goods or services,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,I have not experienced any difficulties,3 – Neutral,No
Small Business (per SBA standards),Other:,,,,,,,,,,,,,
Sole Proprietor / Individual,Sales,,,,,,,,,,,,,
Large Business,Sales,Yes,"Finding guidance on PaymentWorks actions,Supplier Registration","Finding guidance on PaymentWorks actions,Updating Company Information,Viewing Payment Status","I am unsure who to contact,Other (please specify):",Yes,Transcepta - Electronic Data Interchange (EDI),"Registering for Transcepta,Finding guidance on Transcepta actions.",Receiving notifications about invoice errors/rejections,"I am unsure who to contact,Other (please specify):",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,1 – Extremely Unclear,No
Sole Proprietor / Individual,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,4 – Somewhat Clear,No
Other (please specify):,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"N/A, I've never heard of Transcepta","Viewing invoice submission status.,Finding guidance on Transcepta actions.,Receiving notifications about invoice errors/rejections",Procurement (pohelp@ucsd.edu),Payee Onboarding Guide,Other (Please specify):,3 – Neutral,Yes
Large Business,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.",Other (please specify):,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,Yes
Large Business,Other:,Yes,"Supplier Registration,Viewing Payment Status,Updating Company Information",None of the above,Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have not experienced any difficulties,1 – Extremely Unclear,No
Other (please specify):,Sales,Yes,"Updating Remittance Details,Finding guidance on PaymentWorks actions,Supplier Registration,Contacting PaymentWorks",Contacting PaymentWorks,"The person ordering the goods or services,Accounts Payable (payables@ucsd.edu)",Yes,Transcepta - Electronic Data Interchange (EDI),"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.",Viewing invoice submission status.,"I am unsure who to contact,The person ordering the goods or services",Other (Please specify):,Other (Please specify):,4 – Somewhat Clear,No
Other (please specify):,Other:,Yes,"Updating Company Information,Updating Remittance Details","N/A, I've never heard of PaymentWorks","The person ordering the goods or services,PaymentWorks Support",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have never utilized these resources or support,4 – Somewhat Clear,Yes
Non-Profit Organization,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,I am not aware of any of these resources,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,4 – Somewhat Clear,Yes
Sole Proprietor / Individual,Sales,Yes,"Viewing Payment Status,Updating Company Information,Contacting PaymentWorks","Updating Company Information,Supplier Registration,Finding guidance on PaymentWorks actions","PaymentWorks' Payee Knowledge Base,Procurement (pohelp@ucsd.edu)",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,No
Sole Proprietor / Individual,Other:,Yes,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks","I am unsure who to contact,Accounts Payable (payables@ucsd.edu)",Yes,Transcepta - Electronic Data Interchange (EDI),"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.",Registering for Transcepta,Procurement (pohelp@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,No
Sole Proprietor / Individual,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Email,"Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,Finding guidance on Transcepta actions.",None of the Above,Other (please specify):,I am not aware of any of these resources,I have not experienced any difficulties,2 – Somewhat Unclear,No
Large Business,Accounts receivable,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have never utilized these resources or support,2 – Somewhat Unclear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Accounts receivable,Yes,"Contacting PaymentWorks,Updating Company Information",None of the above,"I am unsure who to contact,PaymentWorks' Payee Knowledge Base",Yes,Transcepta - Web Portal (PO flip and manual creation),None of the Above,"N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,I have not experienced any difficulties,1 – Extremely Unclear,Yes
"Small Business (per SBA standards),Sole Proprietor / Individual",Administrative support,Yes,Updating Company Information,"Finding guidance on PaymentWorks actions,Updating Remittance Details",Procurement (pohelp@ucsd.edu),Yes,Transcepta - Web Portal (PO flip and manual creation),Viewing invoice submission status.,None of the Above,Procurement (pohelp@ucsd.edu),Other (Please specify):,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Large Business,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,Other:,"Finding guidance on Transcepta actions.,Registering for Transcepta",None of the Above,"Other (please specify):,Accounts Payable (payables@ucsd.edu)",Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,5 – Extremely Clear,No
Non-Profit Organization,Other:,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),,,,,,,,,
Non-Profit Organization,Administrative support,Yes,Contacting PaymentWorks,Viewing Payment Status,PaymentWorks' Payee Knowledge Base,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Registering for Transcepta,Receiving notifications about invoice errors/rejections,Finding guidance on Transcepta actions.,Viewing invoice submission status.","N/A, I've never heard of Transcepta",Transcepta Support,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,No
Non-Profit Organization,Administrative support,,,,,,,,,,,,,
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,Yes,Transcepta - Web Portal (PO flip and manual creation),Registering for Transcepta,"Registering for Transcepta,Finding guidance on Transcepta actions.","Transcepta Support,Accounts Payable (payables@ucsd.edu)",I am not aware of any of these resources,I have not experienced any difficulties,5 – Extremely Clear,No
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,I have not experienced any difficulties,5 – Extremely Clear,No
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Onboarding Guide,I have never utilized these resources or support,1 – Extremely Unclear,No
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,No
Other (please specify):,Accounts receivable,,,,,,,,,,,,,
Other (please specify):,Accounts receivable,,,,,,,,,,,,,
"Small Business (per SBA standards),Sole Proprietor / Individual",Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,Receiving notifications about invoice errors/rejections,"N/A, I've never heard of Transcepta",I am unsure who to contact,Payee Newsletter,Other (Please specify):,2 – Somewhat Unclear,No
Non-Profit Organization,Executive-level leadership,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Accounts Payable (payables@ucsd.edu),Yes,Other:,"N/A, I've never heard of Transcepta",Registering for Transcepta,Procurement (pohelp@ucsd.edu),Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,Other (Please specify):,5 – Extremely Clear,No
Small Business (per SBA standards),Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,3 – Neutral,No
Small Business (per SBA standards),Other:,Yes,"Updating Company Information,Viewing Payment Status,Updating Remittance Details,Finding guidance on PaymentWorks actions","Viewing Payment Status,Finding guidance on PaymentWorks actions,Supplier Registration","The person ordering the goods or services,PaymentWorks Support",Yes,Transcepta - Email,"Finding guidance on Transcepta actions.,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections",Viewing invoice submission status.,"Other (please specify):,Accounts Payable (payables@ucsd.edu)",Payee Newsletter,Other (Please specify):,N/A – I do not have access to/do not receive Purchase Orders,Yes
Large Business,Accounts receivable,Yes,"Viewing Payment Status,Contacting PaymentWorks,Finding guidance on PaymentWorks actions",None of the above,Accounts Payable (payables@ucsd.edu),No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Accounts Payable (payables@ucsd.edu),I am not aware of any of these resources,I have never utilized these resources or support,N/A – I do not have access to/do not receive Purchase Orders,Yes
Small Business (per SBA standards),Accounts receivable,Yes,"Finding guidance on PaymentWorks actions,Updating Remittance Details,Supplier Registration","Updating Remittance Details,Supplier Registration",PaymentWorks Support,Yes,Other:,Receiving notifications about invoice errors/rejections,Viewing invoice submission status.,"Accounts Payable (payables@ucsd.edu),Procurement (pohelp@ucsd.edu)",Other (Please specify):,I have never utilized these resources or support,2 – Somewhat Unclear,Yes
Sole Proprietor / Individual,Sales,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",Other (please specify):,Yes,N/A - I don’t know how our invoices are submitted in Transcepta,"Registering for Transcepta,Viewing invoice submission status.,Receiving notifications about invoice errors/rejections",Receiving notifications about invoice errors/rejections,Accounts Payable (payables@ucsd.edu),Other (Please specify):,Other (Please specify):,3 – Neutral,Yes
Small Business (per SBA standards),Accounts receivable,Yes,"Finding guidance on PaymentWorks actions,Viewing Payment Status,Updating Remittance Details","Updating Remittance Details,Supplier Registration,Updating Company Information","PaymentWorks' Payee Knowledge Base,The person ordering the goods or services",No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",Other (please specify):,Payee Onboarding Guide,I have never utilized these resources or support,3 – Neutral,Yes
Non-Profit Organization,Administrative support,No,"N/A, I've never heard of PaymentWorks","N/A, I've never heard of PaymentWorks",I am unsure who to contact,No,N/A - I don’t know how our invoices are submitted in Transcepta,"N/A, I've never heard of Transcepta","N/A, I've never heard of Transcepta",I am unsure who to contact,Other (Please specify):,Services & Support (Email): pohelp@ucsd.edu and payables@ucsd.edu,N/A – I do not have access to/do not receive Purchase Orders,No
