org_type_other,role_other,paymentworks_actions_text,paymentworks_difficulties_text,paymentworks_support_other,paymentworks_issues_open,invoice_submission_other,transcepta_interactions_text,transcepta_difficulties_text,transcepta_support_other,transcepta_issues_open,ipps_resources_other,ipps_difficulties_other,po_clarity_text,suggestions_open
,Teaching,Is this the same as your Transcepta system?,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,kept referring me to self-help,
,,,,,I had a horrible experience as a UC San Diego supplier.,Print it out and give it to the manager of the store.,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
DBE CA,Owner and Software Developer,,I have no idea how to enroll a new payor. Is UC San Diego a company or a supplier in the system?,,,,,Been too long. Do not remember.,,,,,,I believe the process could be greatly improved by having a single point of contact instead of multiple portals.
,Office Manager,,,,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,,,,Other resources found via Google.,Payables@ucsd.edu is not very helpful.,,
,Live Bee removal,,Haven't had issues yet.,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,No issues. Transcepta is very easy to use.,,,Department administrator shared a guide.,,,
,,"We use it only for registration. Once set up, we don't log back in.","Getting what method of payment was set. It was a credit card at one time, now a transfer.",,,,,"Often have to contact my colleague at UCSD, who then calls Transcepta.",,,Been too long. Do not remember.,,,Communication — simple and straightforward. That may be something to implement.
,,,,,,,Optional — please elaborate on choices selected.,,,,,,,
,,,,,Very challenging given requirements. I've created my own how-to document to navigate this.,,,,Accounting department.,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,Payables@ucsd.edu is not very helpful.,,
,,,,,I had a horrible experience as a UC San Diego supplier.,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,,,
,,,,,,,,,,,,,,
,Engineering Sales & Service,I rarely use PaymentWorks — only log in when UCSD requires an update.,,,Been too long. Do not remember.,,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,
,,,,,,,,,,,,,,"Consider that if a company has to have that many resources to solve issues, it's not a good system."
,,"We use it only for registration. Once set up, we don't log back in.","Things that are not important for me — I do not remember, so it is probably fine.",,,i need to check what i used,,,,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,I don't know what instructions you are referring to. All I need is the number and the statement of work.,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,Owner,,,,,i need to check what i used,,,,,,,,
,,,,,We have encountered challenges with tax form management — asked to resubmit documents already on file.,,,,,,,,,Unbelievable that in the age of AI you still require manual invoice mapping. QuickBooks does this automatically.
,,,,,,,,,,,,,,
,,,,,,,,,,,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,"Integration and design of electronics, optics and robotics",,,,"Again, never heard of this — I used to send invoices to the manager, now I use Transcepta.",,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
,,,,Accounting department internally.,"Again, never heard of this — I used to send invoices to the manager, now I use Transcepta.",,,,Have not used it yet.,One invoice was approved but never paid when the AP clerk on my account changed.,,,I don't know what instructions you are referring to. All I need is the number and the statement of work.,
,,,Tax form management is confusing — we submitted our W-8BEN-E but keep being asked to resubmit. Unclear if it was received.,,,,,,MedEd AP person or my project manager.,,,,,
,Owner and Software Developer,,,We have not used PaymentWorks.,Client status says 'Registration Approved' but never advanced to 'Connected.',,,,,,,,,Communication — simple and straightforward. That may be something to implement.
,,,,,,,,Been too long. Do not remember.,,,,,kept referring me to self-help,Thank you for the continued efforts to improve supplier experience. More streamlined guidance would be appreciated.
,,,,,,,,,I don't know what else to tell you.,,,,Optional — please elaborate on your choice.,
,,,,,Very challenging given requirements. I've created my own how-to document to navigate this.,,,,,,,,,"I've had many issues resolved by the department administrator. That being said, a net-60 soon becoming net-90 is completely unreasonable."
,Owner/Operator,,,,,,,,,,,,,Renew POs much faster for existing vendors. I shouldn't have to shuffle work to account for multiple months of non-payment while this gets sorted out.
,,,,,,Email directly to AP contact.,,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,
,,,,,I had a horrible experience as a UC San Diego supplier.,"Unless forced to submit via Transcepta, we do not use Transcepta. Our customers receive invoices emailed to their AP or business email.",,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
,,Is this the same as your Transcepta system?,,,,,Unbelievable that in the age of AI you still require mapping invoices in specific places. QuickBooks does it automatically.,No issues. Transcepta is very easy to use.,,,,,,
,,,I do not recall having difficulties.,,,,,,,,,,,
,,,,,,,Been too long. Do not remember.,,,,,,,
,,,,,,,,,,"Transcepta creates much more work for the supplier. It requires re-entering all information from our own invoices item by item, line by line. We prefer to submit our company-generated invoices directly.",,,,
,,See response to question #2.,,,,,I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,,Been too long. Do not remember.,Every year there is a huge delay in PO renewals resulting in two to three months of inability to work or get paid.,,,,
,,,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,,,
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,Department administrator.,,,,,
,,"I thought we used PaymentWorks for invoicing, but my notes say Transcepta. Still unclear what PaymentWorks is for.",,,,,,,,,I have created my own set of instructions — a how-to document to navigate this system.,,,
Uncertified Small Business,,,,None.,,,,No issues. Transcepta is very easy to use.,,,,,,
,,See response to question #2.,,,,,,,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,,
,,,,,,,,"Transcepta requires re-entering all information from our own invoices item by item, line by line. Very cumbersome.",,,,,,
,,,Tax form management is confusing — we submitted our W-8BEN-E but keep being asked to resubmit. Unclear if it was received.,,,,,,,,,,kept referring me to self-help,
,,I have not used PaymentWorks directly; our client handles that side.,,,,,,,,,Been too long. Do not remember.,,,
,,,,,,EMAIL. You are paying us. We should not have to register in your internal portal.,I am really confused about the relationship between PaymentWorks and Transcepta.,Viewing invoice submission status was the main issue.,,,,,kept referring me to self-help,
,,,,,,,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,,
,,,,,,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,
,,,,,,,,,,Been too long. Do not remember.,,,,
,,,,,,,,,,,,,,
,,,,I haven't had an issue.,,,,,Department administrator.,,,Payables@ucsd.edu is not very helpful.,,
,,,,,,,,,,,,,,
,,,,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",i need to check what i used,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,"We didn't choose to use this portal — your organization did. You should be the point of contact for issues, not a third-party vendor.",,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,,,,,,,I don't know what else to tell you.,,,,,
,,,,,"I was directed to PaymentWorks very late in the process, then directed to another option. Very confusing.",,,,,,,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
,,,,,,,,,,When I submit an invoice the total always shows $0. I need to edit it each time.,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Everything was bad. I will never work again with any company that uses Transcepta.,,,"Since February we receive work orders and fulfill them without a PO number, as FM is behind in providing one.",
,,,,,,EDI,,,,Been too long. Do not remember.,,,,
,,,,,,,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,,,
,,,,Have not used it yet.,,,,When I submit an invoice the total always shows $0 and I have to go back and edit it to change the amount.,,,,,,
,Teaching,,,,The customers use PaymentWorks. Our company does not interact with it directly.,,,,,,,,"My most recent PO communication came directly from a real person, not from these systems.",
,,,,,,QBO (QuickBooks Online),I've spoken with Customer Service multiple times. They had different instructions than what was provided and admitted their QBO interface was not good.,Transcepta is awful for small businesses — almost all of us use QuickBooks or QBO.,,,,,,
,,,,,,,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,,
,,,,,,,,,,One invoice was approved but never paid when the AP clerk on my account changed.,,,,More streamlined guidance and centralized communication channels would make it easier for suppliers to navigate processes and obtain timely support.
,,,Haven't had issues yet.,,,,,,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,,Renew POs much faster for existing vendors. I shouldn't have to shuffle work to account for multiple months of non-payment while this gets sorted out.
,,,,,,,,,,I am having significant issues with Transcepta. It is not functional and has resulted in significant payment delays.,,,Clear but the support for issues with the process was lacking.,
,,See response to question #2.,Tax form management is confusing — we submitted our W-8BEN-E but keep being asked to resubmit. Unclear if it was received.,,Been too long. Do not remember.,,,,,One invoice was approved but never paid when the AP clerk on my account changed.,,,,
,,,,,Getting paid for invoices submitted has been the main challenge.,,,,,I have spent hours trying to fix it. After uploading directly with a PDF it is still showing a $0 balance. Transcepta is an awful system for a small business owner.,,,,
,Office Manager,,,,,,,As a vendor we do not appreciate being required to upload invoices and add internal information. Your AP team should handle this.,,,,,,
,"Integration and design of electronics, optics and robotics",,Tax form management is confusing — we submitted our W-8BEN-E but keep being asked to resubmit. Unclear if it was received.,,Getting paid for invoices submitted has been the main challenge.,,,,,,,,,
"Smaller, privately owned business but not per SBA standards",,,,,,,I am really confused about the relationship between PaymentWorks and Transcepta.,,,,,kept referring me to self-help and Transcepta support,,
,,,This process has been totally ill-timed and communicated. Multiple hard-copy letters saying the same thing. Phone support is a revolving cycle of asking for more information.,,,,,,,Was unable to add UC San Diego without Transcepta support's assistance. Kept being referred to self-help options that were not working.,,Being referred to self-help when the issue required direct human assistance.,,
,,,,,,,,,,,,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,
,Media Trainer,,,Have not used it yet.,,,,,MedEd AP person or my project manager.,,Department administrator shared a guide.,,I usually have to contact someone at UC San Diego when our PO dollar amount is used up. I'd prefer an email notification rather than having to reach out myself.,
